d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.971,3,41,0.011,3,20,2820,24,74,87,161,1463,1
0.01,0.01,0.95,4,0,0,1,1,14,0.007,1,19,2977,12,72,79,151,1456,1
0.01,0.01,0.95,5,0,0,0,3,42,0.001,0,11,3152,0,60,84,144,1459,1
0.01,0.01,0.95,6,0,0,0,5,69,0.003,0,14,3608,0,54,91,145,1461,1
0.01,0.01,0.95,7,0,0,0,2,28,0.007,0,14,3770,0,50,96,146,1449,1
0.01,0.01,0.95,3,0,0,0.744,0,0,0.01,8,22,2964,56,102,75,177,1457,2
0.01,0.01,0.95,4,0,0,0.927,0,0,0,4,17,3297,38,102,76,178,1446,2
0.01,0.01,0.95,5,0,0,1,0,0,0.01,1,12,3013,25,90,77,167,1447,2
0.01,0.01,0.95,6,0,0,1,0,0,0.001,0,9,3318,10,94,80,174,1432,2
0.01,0.01,0.95,7,0,0,0,0,0,0.001,0,10,3418,2,97,74,171,1432,2
0.01,0.01,0.95,3,0,0,0.76,0,0,0.006,4,8,1656,34,109,72,181,1366,3
0.01,0.01,0.95,4,0,0,0.922,0,0,0.011,7,10,1795,309,111,74,185,1353,3
0.01,0.01,0.95,5,0,0,0.998,0,0,0.003,1,9,2598,136,106,80,186,1393,3
0.01,0.01,0.95,6,0,0,0.478,0,0,0.028,3,34,2491,23,109,75,184,1386,3
0.01,0.01,0.95,7,0,0,1,0,0,0.001,0,11,3165,14,102,80,182,1389,3
0.01,0.01,0.95,3,0,0,0.764,1,15,0.011,8,12,2098,113,76,63,139,1415,4
0.01,0.01,0.95,4,0,0,1,3,44,0.007,2,9,2686,34,88,59,147,1419,4
0.01,0.01,0.95,5,0,0,0,5,73,0.002,1,7,3158,0,89,63,152,1413,4
0.01,0.01,0.95,6,0,0,0,4,58,0.005,0,11,3316,0,85,67,152,1411,4
0.01,0.01,0.95,7,0,0,0,3,44,0,0,12,3202,0,81,71,152,1418,4
