d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.944,3,43,0.007,15,49,3347,80,85,84,169,1452,1
0.01,0.01,0.95,4,0,0,0.754,0,0,0.009,4,51,3351,25,88,78,166,1457,1
0.01,0.01,0.95,5,0,0,1,2,29,0.015,0,47,3261,18,92,75,167,1435,1
0.01,0.01,0.95,6,0,0,1,6,85,0.029,0,56,3111,11,93,67,160,1460,1
0.01,0.01,0.95,7,0,0,1,8,114,0.016,0,57,3210,4,81,69,150,1475,1
0.01,0.01,0.95,3,1,13,0.983,0,0,0.03,3,60,2030,40,62,122,184,1435,2
0.01,0.01,0.95,4,0,0,1,0,0,0.023,1,49,2481,24,52,134,186,1450,2
0.01,0.01,0.95,5,0,0,1,0,0,0.03,0,64,2292,7,63,123,186,1445,2
0.01,0.01,0.95,6,0,0,0,0,0,0.013,0,47,2525,0,57,111,168,1443,2
0.01,0.01,0.95,7,0,0,0,0,0,0.013,0,48,2563,0,50,111,161,1445,2
0.01,0.01,0.95,3,0,0,1,0,0,0.021,0,62,1702,11,104,85,189,1379,3
0.01,0.01,0.95,4,0,0,0,0,0,0.03,0,59,1723,0,100,87,187,1366,3
0.01,0.01,0.95,5,0,0,0,0,0,0.054,0,68,1725,0,97,93,190,1395,3
0.01,0.01,0.95,6,0,0,0,0,0,0.002,0,43,1947,0,103,92,195,1382,3
0.01,0.01,0.95,7,0,0,0,0,0,0.042,0,50,2295,0,106,80,186,1404,3
0.01,0.01,0.95,3,0,0,1,5,64,0.012,5,69,3120,41,79,96,175,1393,4
0.01,0.01,0.95,4,0,0,1,7,89,0.013,0,51,3371,80,79,90,169,1399,4
0.01,0.01,0.95,5,0,0,0,10,127,0.012,0,42,3957,10,84,79,163,1393,4
0.01,0.01,0.95,6,0,0,0,8,101,0.014,0,42,3968,0,91,76,167,1392,4
0.01,0.01,0.95,7,0,0,0,7,88,0.013,0,50,4019,0,92,74,166,1399,4
0.01,0.01,0.95,3,0,0,0.732,0,0,0.008,13,61,2945,94,95,82,177,1429,5
0.01,0.01,0.95,4,0,0,0.999,0,0,0.013,4,45,3366,39,88,71,159,1441,5
0.01,0.01,0.95,5,0,0,1,0,0,0.009,0,43,3093,8,97,64,161,1435,5
0.01,0.01,0.95,6,0,0,0,0,0,0.024,0,48,3208,0,108,63,171,1451,5
0.01,0.01,0.95,7,0,0,0,0,0,0.021,0,58,3156,0,104,64,168,1444,5
0.01,0.01,0.95,3,0,0,0,0,0,0.015,0,46,2316,1,56,72,128,1422,6
0.01,0.01,0.95,4,0,0,0,1,13,0.019,0,49,2852,0,62,66,128,1433,6
0.01,0.01,0.95,5,0,0,0,0,0,0.014,0,31,2971,0,64,65,129,1425,6
0.01,0.01,0.95,6,0,0,0,1,13,0.026,0,47,3139,0,64,59,123,1421,6
0.01,0.01,0.95,7,0,0,0,0,0,0.001,0,25,3329,0,74,56,130,1420,6
0.01,0.01,0.95,3,0,0,1,0,0,0.009,0,60,3403,20,79,96,175,1412,7
0.01,0.01,0.95,4,0,0,0,0,0,0.013,0,58,3356,0,83,88,171,1416,7
0.01,0.01,0.95,5,0,0,0,0,0,0.028,0,59,3109,0,83,97,180,1401,7
0.01,0.01,0.95,6,0,0,0,0,0,0.019,0,60,2827,0,90,86,176,1400,7
0.01,0.01,0.95,7,0,0,0,0,0,0.016,0,49,2923,0,87,88,175,1402,7
0.01,0.01,0.95,3,0,0,0.361,0,0,0.013,8,55,2868,119,61,105,166,1413,8
0.01,0.01,0.95,4,0,0,1,0,0,0.021,10,64,2858,138,60,107,167,1408,8
0.01,0.01,0.95,5,0,0,0.007,0,0,0.011,1,30,2815,16,61,98,159,1441,8
0.01,0.01,0.95,6,0,0,1,0,0,0.019,0,41,3187,5,67,98,165,1401,8
0.01,0.01,0.95,7,0,0,0,0,0,0.019,0,46,3006,0,63,100,163,1411,8
0.01,0.01,0.95,3,0,0,1,0,0,0.007,0,76,3336,23,121,90,211,1426,9
0.01,0.01,0.95,4,0,0,0,0,0,0.014,0,64,3586,1,118,88,206,1425,9
0.01,0.01,0.95,5,0,0,0,0,0,0.014,0,53,3082,0,116,91,207,1430,9
0.01,0.01,0.95,6,0,0,0,0,0,0.022,0,67,3036,0,121,86,207,1438,9
0.01,0.01,0.95,7,0,0,0,0,0,0.024,0,83,3219,0,127,80,207,1421,9
0.01,0.01,0.95,3,0,0,1,0,0,0.008,0,47,3484,6,55,99,154,1416,10
0.01,0.01,0.95,4,0,0,0,0,0,0.009,0,46,3547,0,58,97,155,1413,10
0.01,0.01,0.95,5,0,0,0,0,0,0.009,0,42,3693,0,66,88,154,1414,10
0.01,0.01,0.95,6,0,0,0,0,0,0.007,0,34,3942,0,66,83,149,1419,10
0.01,0.01,0.95,7,0,0,0,0,0,0.004,0,55,3755,0,62,87,149,1420,10
0.01,0.01,0.95,3,0,0,0.965,1,13,0.02,4,76,3059,50,154,65,219,1460,11
0.01,0.01,0.95,4,0,0,0.873,1,13,0.02,4,67,3236,37,161,60,221,1456,11
0.01,0.01,0.95,5,0,0,0.432,1,13,0.015,13,58,3364,77,160,57,217,1460,11
0.01,0.01,0.95,6,0,0,0.989,1,13,0.025,4,65,3280,165,155,54,209,1477,11
0.01,0.01,0.95,7,0,0,0.801,1,13,0.016,1,81,3339,70,165,51,216,1469,11
0.01,0.01,0.95,3,0,0,1,0,0,0.006,2,50,3208,65,117,51,168,1446,12
0.01,0.01,0.95,4,0,0,1,0,0,0.011,1,30,3277,38,118,44,162,1445,12
0.01,0.01,0.95,5,0,0,1,0,0,0.014,1,51,3683,6,116,49,165,1438,12
0.01,0.01,0.95,6,0,0,0,0,0,0.008,0,42,3884,1,114,51,165,1439,12
0.01,0.01,0.95,7,0,0,0,0,0,0.012,0,34,3567,0,113,48,161,1451,12
0.01,0.01,0.95,3,0,0,1,0,0,0.025,5,49,2578,257,79,86,165,1440,13
0.01,0.01,0.95,4,0,0,1,0,0,0.008,1,28,2841,76,56,73,129,1443,13
0.01,0.01,0.95,5,0,0,1,0,0,0.012,0,40,3058,9,54,65,119,1423,13
0.01,0.01,0.95,6,0,0,0,0,0,0.011,0,36,3162,3,58,60,118,1428,13
0.01,0.01,0.95,7,0,0,0,0,0,0.014,0,43,2999,0,64,56,120,1428,13
0.01,0.01,0.95,3,0,0,1,0,0,0.014,2,56,2081,226,87,62,149,1380,14
0.01,0.01,0.95,4,0,0,1,0,0,0.004,2,42,2382,147,94,45,139,1360,14
0.01,0.01,0.95,5,0,0,1,0,0,0.009,3,30,2830,164,94,40,134,1361,14
0.01,0.01,0.95,6,0,0,0.999,0,0,0.009,2,42,3150,49,104,38,142,1370,14
0.01,0.01,0.95,7,0,0,1,0,0,0.007,0,31,2909,5,95,40,135,1375,14
0.01,0.01,0.95,3,0,0,1,4,54,0.016,0,64,3142,3,79,69,148,1375,15
0.01,0.01,0.95,4,0,0,0,3,41,0.017,0,49,3092,0,86,65,151,1410,15
0.01,0.01,0.95,5,0,0,0,0,0,0.018,0,45,3156,0,80,65,145,1374,15
0.01,0.01,0.95,6,0,0,0,1,13,0.01,0,41,3374,0,93,62,155,1399,15
0.01,0.01,0.95,7,0,0,0,1,13,0.016,0,46,3061,0,85,70,155,1391,15
0.01,0.01,0.95,3,0,0,0.372,0,0,0.011,9,59,3251,78,128,82,210,1491,16
0.01,0.01,0.95,4,0,0,0.9,0,0,0.02,14,66,3091,59,129,72,201,1483,16
0.01,0.01,0.95,5,0,0,1,0,0,0.017,1,59,3456,17,137,67,204,1471,16
