d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.841,12,163,0.012,10,41,2848,169,79,78,157,1445,1
0.01,0.01,0.95,4,0,0,0.641,10,136,0.03,17,74,3187,149,61,85,146,1463,1
0.01,0.01,0.95,5,0,0,0.49,6,82,0.006,34,42,3574,108,64,88,152,1472,1
0.01,0.01,0.95,6,0,0,0.49,1,14,0.02,42,66,3116,124,53,96,149,1483,1
0.01,0.01,0.95,7,0,0,0.87,1,14,0.008,16,54,2923,209,53,103,156,1470,1
0.01,0.01,0.95,3,4,50,0.452,0,0,0.006,41,54,2943,140,48,115,163,1433,2
0.01,0.01,0.95,4,0,0,1,0,0,0.009,20,51,3488,95,50,93,143,1461,2
0.01,0.01,0.95,5,0,0,1,0,0,0.016,1,55,3025,8,54,88,142,1435,2
0.01,0.01,0.95,6,0,0,0,0,0,0.01,0,44,2940,0,62,80,142,1449,2
0.01,0.01,0.95,7,0,0,0,0,0,0.002,0,45,3189,0,71,68,139,1453,2
0.01,0.01,0.95,3,0,0,0.76,0,0,0.012,23,60,2422,125,86,87,173,1377,3
0.01,0.01,0.95,4,0,0,0.702,0,0,0.028,51,56,2621,236,76,91,167,1387,3
0.01,0.01,0.95,5,0,0,0.832,0,0,0.003,45,40,2942,255,79,83,162,1363,3
0.01,0.01,0.95,6,0,0,0.77,0,0,0.015,42,50,3054,228,84,77,161,1370,3
0.01,0.01,0.95,7,0,0,0.713,0,0,0.016,54,43,3131,360,86,76,162,1385,3
0.01,0.01,0.95,3,0,0,0.515,8,107,0.015,42,53,3078,163,78,100,178,1373,4
0.01,0.01,0.95,4,0,0,0.485,7,93,0.008,40,55,3454,179,83,95,178,1404,4
0.01,0.01,0.95,5,0,0,0.777,1,13,0.013,27,47,3254,137,84,88,172,1398,4
0.01,0.01,0.95,6,0,0,0.258,6,80,0.015,46,47,3262,122,87,90,177,1408,4
0.01,0.01,0.95,7,0,0,0.593,6,80,0.027,34,61,3149,189,91,88,179,1384,4
0.01,0.01,0.95,3,0,0,0.997,0,0,0.021,12,82,3196,117,81,97,178,1453,5
0.01,0.01,0.95,4,0,0,0.985,0,0,0.015,3,66,2875,60,72,100,172,1453,5
0.01,0.01,0.95,5,0,0,0.69,0,0,0.018,21,42,3182,78,82,99,181,1446,5
0.01,0.01,0.95,6,0,0,0.648,0,0,0.016,37,53,3385,146,75,93,168,1446,5
0.01,0.01,0.95,7,0,0,0.995,0,0,0.009,39,49,3293,200,71,88,159,1443,5
0.01,0.01,0.95,3,0,0,0.523,0,0,0.006,37,45,2741,133,106,82,188,1431,6
0.01,0.01,0.95,4,0,0,0.694,0,0,0.008,29,44,3137,246,108,82,190,1418,6
0.01,0.01,0.95,5,0,0,0.605,0,0,0.021,39,67,3371,123,106,87,193,1414,6
0.01,0.01,0.95,6,0,0,0.526,0,0,0.005,58,65,3615,143,91,91,182,1421,6
0.01,0.01,0.95,7,0,0,0.995,0,0,0.005,18,45,3580,162,92,80,172,1423,6
0.01,0.01,0.95,3,0,0,0.761,0,0,0.012,58,54,3518,243,99,69,168,1417,7
0.01,0.01,0.95,4,0,0,0.742,0,0,0.018,30,58,3421,225,101,62,163,1421,7
0.01,0.01,0.95,5,0,0,0.436,0,0,0.032,50,80,3279,190,106,64,170,1429,7
0.01,0.01,0.95,6,0,0,0.601,0,0,0.014,42,41,3224,171,100,66,166,1420,7
0.01,0.01,0.95,7,0,0,0.959,0,0,0.019,21,69,3466,108,97,65,162,1428,7
0.01,0.01,0.95,3,0,0,0.965,1,14,0.009,18,49,2674,150,86,83,169,1442,8
0.01,0.01,0.95,4,0,0,0.899,0,0,0.022,12,62,2844,73,86,78,164,1431,8
0.01,0.01,0.95,5,0,0,0.752,0,0,0.005,22,46,3099,125,89,62,151,1426,8
0.01,0.01,0.95,6,0,0,0.84,0,0,0.017,33,40,3187,308,93,63,156,1438,8
0.01,0.01,0.95,7,0,0,0.756,0,0,0.013,50,49,3247,260,105,55,160,1421,8
0.01,0.01,0.95,3,0,0,0.591,0,0,0.022,65,86,3021,264,135,71,206,1441,9
0.01,0.01,0.95,4,0,0,0.539,0,0,0.012,55,43,3043,175,125,74,199,1416,9
0.01,0.01,0.95,5,0,0,0.509,0,0,0.017,46,50,3011,127,130,59,189,1429,9
0.01,0.01,0.95,6,0,0,0.39,0,0,0.024,69,63,3330,196,141,53,194,1430,9
0.01,0.01,0.95,7,1,13,0.793,0,0,0.005,71,40,3180,203,137,67,204,1450,9
0.01,0.01,0.95,3,0,0,0.583,1,13,0.027,30,92,3215,133,93,84,177,1417,10
0.01,0.01,0.95,4,1,12,0.711,0,0,0.022,45,59,3161,150,105,69,174,1411,10
0.01,0.01,0.95,5,0,0,0.717,0,0,0.013,42,54,3352,134,104,68,172,1412,10
0.01,0.01,0.95,6,0,0,0.671,0,0,0.008,37,52,3234,268,96,74,170,1400,10
0.01,0.01,0.95,7,0,0,0.865,0,0,0.03,52,55,2970,442,97,70,167,1414,10
0.01,0.01,0.95,3,0,0,0.749,0,0,0.014,32,52,2883,131,80,82,162,1483,11
0.01,0.01,0.95,4,0,0,0.988,0,0,0.022,13,47,2921,116,67,82,149,1486,11
0.01,0.01,0.95,5,0,0,0.578,3,41,0.007,15,46,2879,45,58,92,150,1469,11
0.01,0.01,0.95,6,0,0,0.969,3,41,0.012,14,42,3542,47,58,92,150,1470,11
0.01,0.01,0.95,7,0,0,0.99,0,0,0.014,8,65,3805,28,53,96,149,1463,11
0.01,0.01,0.95,3,0,0,0.72,0,0,0.021,51,72,3314,222,97,93,190,1443,12
0.01,0.01,0.95,4,0,0,0.649,0,0,0.008,42,51,3516,140,83,103,186,1458,12
0.01,0.01,0.95,5,0,0,0.717,0,0,0.004,64,32,3438,147,68,106,174,1447,12
0.01,0.01,0.95,6,0,0,0.852,0,0,0.015,38,45,3298,208,70,101,171,1454,12
0.01,0.01,0.95,7,0,0,0.587,0,0,0.012,46,39,3244,125,69,99,168,1432,12
0.01,0.01,0.95,3,0,0,0.936,0,0,0.008,16,42,3199,160,69,69,138,1428,13
0.01,0.01,0.95,4,0,0,0.649,0,0,0.013,30,36,3438,136,72,63,135,1434,13
0.01,0.01,0.95,5,0,0,0.794,0,0,0.008,23,42,3593,100,85,49,134,1433,13
0.01,0.01,0.95,6,0,0,0.786,0,0,0.007,13,25,3736,69,88,46,134,1420,13
0.01,0.01,0.95,7,0,0,0.733,0,0,0.004,18,25,4002,95,92,41,133,1425,13
0.01,0.01,0.95,3,0,0,0.814,0,0,0.032,14,74,2979,91,69,81,150,1382,14
0.01,0.01,0.95,4,0,0,0.613,1,14,0.002,15,31,2930,54,66,84,150,1380,14
0.01,0.01,0.95,5,0,0,0.543,0,0,0.015,28,60,3076,77,57,71,128,1390,14
0.01,0.01,0.95,6,1,14,0.647,0,0,0.025,20,42,2741,102,50,63,113,1364,14
0.01,0.01,0.95,7,1,14,0.517,0,0,0.02,29,46,2724,106,57,62,119,1382,14
0.01,0.01,0.95,3,0,0,0.799,0,0,0.016,15,48,2089,116,60,79,139,1392,15
0.01,0.01,0.95,4,0,0,0.596,1,13,0.021,15,37,2396,92,58,85,143,1391,15
0.01,0.01,0.95,5,0,0,0.773,0,0,0.018,21,47,2349,141,60,82,142,1402,15
0.01,0.01,0.95,6,0,0,0.554,0,0,0.012,19,47,2173,131,68,74,142,1394,15
0.01,0.01,0.95,7,0,0,0.959,0,0,0.042,26,58,2332,224,62,75,137,1402,15
0.01,0.01,0.95,3,0,0,0.821,0,0,0.014,43,73,3032,214,102,96,198,1484,16
0.01,0.01,0.95,4,0,0,0.803,0,0,0.01,40,55,2981,305,99,95,194,1477,16
0.01,0.01,0.95,5,0,0,0.77,0,0,0.006,48,44,2995,213,101,88,189,1481,16
0.01,0.01,0.95,6,0,0,0.916,0,0,0.036,46,71,3051,261,104,84,188,1489,16
0.01,0.01,0.95,7,0,0,0.527,0,0,0.016,48,68,3306,158,102,95,197,1486,16
0.01,0.01,0.95,3,0,0,0.62,0,0,0.007,40,59,3579,129,104,89,193,1458,17
0.01,0.01,0.95,4,0,0,0.627,0,0,0.027,64,64,3551,201,107,91,198,1454,17
0.01,0.01,0.95,5,0,0,0.808,0,0,0.012,31,61,3833,245,114,87,201,1459,17
0.01,0.01,0.95,6,0,0,0.717,0,0,0.035,19,89,3843,139,121,83,204,1473,17
0.01,0.01,0.95,7,0,0,0.428,0,0,0.011,48,38,4062,115,114,84,198,1482,17
0.01,0.01,0.95,3,0,0,0.621,0,0,0.006,16,53,3305,100,76,73,149,1374,18
0.01,0.01,0.95,4,0,0,0.654,0,0,0.024,13,61,3443,53,81,67,148,1384,18
0.01,0.01,0.95,5,0,0,0.501,0,0,0.02,16,36,3269,49,91,54,145,1387,18
0.01,0.01,0.95,6,0,0,0.992,0,0,0.013,22,34,3199,106,97,52,149,1374,18
0.01,0.01,0.95,7,0,0,0.899,0,0,0.011,19,42,3205,202,97,46,143,1373,18
0.01,0.01,0.95,3,2,27,0.739,0,0,0.011,48,53,3007,202,72,86,158,1470,19
0.01,0.01,0.95,4,0,0,0.46,0,0,0.003,64,34,3589,272,79,77,156,1478,19
0.01,0.01,0.95,5,0,0,0.57,0,0,0.019,23,53,4045,125,83,76,159,1477,19
0.01,0.01,0.95,6,0,0,0.604,0,0,0.004,48,34,3756,150,85,77,162,1466,19
0.01,0.01,0.95,7,0,0,0.58,0,0,0.005,38,26,3752,185,81,80,161,1475,19
0.01,0.01,0.95,3,0,0,0.528,0,0,0.011,33,56,3018,91,77,90,167,1398,20
0.01,0.01,0.95,4,0,0,0.829,0,0,0.019,38,63,3634,108,73,92,165,1401,20
0.01,0.01,0.95,5,0,0,0.738,0,0,0.013,33,61,3731,153,85,81,166,1410,20
0.01,0.01,0.95,6,0,0,0.786,0,0,0.015,37,53,3387,125,97,84,181,1413,20
0.01,0.01,0.95,7,0,0,0.388,0,0,0.014,39,81,3250,148,85,84,169,1424,20
0.01,0.01,0.95,3,4,50,0.606,11,136,0.019,78,72,2361,247,161,63,224,1381,21
0.01,0.01,0.95,4,4,49,0.732,10,124,0.023,48,72,2157,160,164,57,221,1381,21
0.01,0.01,0.95,5,3,37,0.707,12,148,0.011,43,67,2038,174,162,58,220,1385,21
0.01,0.01,0.95,6,8,99,0.395,6,74,0.016,75,50,1976,275,163,62,225,1384,21
0.01,0.01,0.95,7,5,62,0.693,3,37,0.011,52,63,2584,179,157,60,217,1380,21
0.01,0.01,0.95,3,0,0,0.671,1,13,0.021,49,65,2933,240,118,67,185,1530,22
0.01,0.01,0.95,4,0,0,0.62,0,0,0.004,34,55,3193,132,107,71,178,1492,22
0.01,0.01,0.95,5,0,0,0.716,0,0,0.006,66,27,3411,277,107,70,177,1498,22
0.01,0.01,0.95,6,0,0,0.802,0,0,0.012,29,49,3560,331,109,61,170,1531,22
0.01,0.01,0.95,7,0,0,0.518,2,27,0.011,34,49,3988,207,115,63,178,1509,22
0.01,0.01,0.95,3,0,0,0.92,0,0,0.022,27,61,3078,145,122,37,159,1411,23
0.01,0.01,0.95,4,1,14,0.833,0,0,0.014,29,51,2928,178,126,38,164,1409,23
0.01,0.01,0.95,5,0,0,0.936,0,0,0.012,15,40,2763,180,130,32,162,1417,23
0.01,0.01,0.95,6,0,0,0.897,0,0,0.016,17,54,3088,209,126,33,159,1402,23
0.01,0.01,0.95,7,0,0,0.415,0,0,0.007,45,34,3407,167,128,33,161,1404,23
0.01,0.01,0.95,3,0,0,0.801,0,0,0.022,27,71,2929,111,115,70,185,1436,24
0.01,0.01,0.95,4,0,0,0.957,0,0,0.014,16,63,3433,131,112,62,174,1434,24
0.01,0.01,0.95,5,0,0,0.781,0,0,0.005,31,48,3573,100,113,56,169,1435,24
0.01,0.01,0.95,6,0,0,0.834,0,0,0.01,27,61,3494,165,115,60,175,1440,24
0.01,0.01,0.95,7,0,0,0.265,0,0,0.018,25,67,3599,80,112,60,172,1438,24
0.01,0.01,0.95,3,0,0,0.626,0,0,0.019,18,77,2956,102,105,61,166,1459,25
0.01,0.01,0.95,4,0,0,0.517,0,0,0.007,27,53,3465,88,93,61,154,1458,25
0.01,0.01,0.95,5,0,0,0.369,0,0,0.009,24,35,3612,53,70,66,136,1453,25
0.01,0.01,0.95,6,0,0,0.366,0,0,0.007,11,33,3973,63,84,56,140,1454,25
0.01,0.01,0.95,7,0,0,0.455,0,0,0.009,23,53,3828,54,84,57,141,1453,25
0.01,0.01,0.95,3,0,0,0.779,0,0,0.014,49,68,2063,402,63,113,176,1452,26
0.01,0.01,0.95,4,0,0,0.638,0,0,0.007,51,47,2897,217,51,117,168,1447,26
0.01,0.01,0.95,5,0,0,0.586,0,0,0.037,20,61,2881,152,41,129,170,1436,26
0.01,0.01,0.95,6,0,0,0.781,1,14,0.013,43,57,2759,234,45,122,167,1453,26
0.01,0.01,0.95,7,0,0,0.469,0,0,0.009,40,35,3457,179,45,113,158,1449,26
0.01,0.01,0.95,3,0,0,0.951,0,0,0.028,26,77,2366,221,80,83,163,1385,27
0.01,0.01,0.95,4,0,0,0.534,0,0,0.013,47,47,2390,205,76,86,162,1400,27
0.01,0.01,0.95,5,0,0,0.68,0,0,0.015,35,32,2907,129,66,88,154,1395,27
0.01,0.01,0.95,6,0,0,0.509,0,0,0.013,29,46,2759,93,70,90,160,1389,27
0.01,0.01,0.95,7,0,0,0.799,0,0,0.014,35,34,2695,118,65,86,151,1382,27
0.01,0.01,0.95,3,6,77,0.592,0,0,0.012,27,57,2361,117,63,97,160,1428,28
0.01,0.01,0.95,4,6,77,0.695,0,0,0.016,27,55,2690,134,66,91,157,1415,28
0.01,0.01,0.95,5,11,140,0.564,0,0,0.019,54,60,2969,145,63,87,150,1414,28
0.01,0.01,0.95,6,10,127,0.656,0,0,0.02,48,59,3076,159,68,89,157,1421,28
0.01,0.01,0.95,7,6,76,0.472,0,0,0.023,42,60,3091,114,66,92,158,1401,28
0.01,0.01,0.95,3,0,0,0.714,0,0,0.016,50,66,3071,252,91,82,173,1471,29
0.01,0.01,0.95,4,0,0,0.533,0,0,0.009,56,46,3066,370,95,80,175,1470,29
0.01,0.01,0.95,5,0,0,0.654,0,0,0.013,31,55,3509,106,98,69,167,1454,29
0.01,0.01,0.95,6,0,0,0.421,0,0,0.011,11,34,3486,67,102,60,162,1456,29
0.01,0.01,0.95,7,0,0,0.677,0,0,0.035,24,59,3305,113,113,57,170,1454,29
0.01,0.01,0.95,3,0,0,0.508,0,0,0.006,43,41,3400,65,88,74,162,1453,30
0.01,0.01,0.95,4,0,0,0.837,0,0,0.018,34,48,3209,133,93,71,164,1442,30
0.01,0.01,0.95,5,0,0,0.716,0,0,0.02,13,56,3339,78,95,64,159,1456,30
0.01,0.01,0.95,6,0,0,0.277,0,0,0.016,31,68,3922,69,100,63,163,1469,30
0.01,0.01,0.95,7,0,0,0.999,0,0,0.008,29,22,3557,148,92,59,151,1452,30
0.01,0.01,0.95,3,0,0,0.478,0,0,0.014,36,54,2714,134,102,54,156,1473,31
0.01,0.01,0.95,4,0,0,0.862,0,0,0.028,24,62,2888,117,89,67,156,1458,31
0.01,0.01,0.95,5,0,0,0.656,0,0,0.017,21,52,2989,72,79,80,159,1460,31
0.01,0.01,0.95,6,0,0,0.466,0,0,0.009,44,45,2741,131,74,90,164,1459,31
0.01,0.01,0.95,7,0,0,0.88,0,0,0.028,27,45,2518,293,73,96,169,1469,31
0.01,0.01,0.95,3,1,14,0.774,0,0,0.008,21,46,2291,153,62,90,152,1416,32
0.01,0.01,0.95,4,2,27,0.96,0,0,0.013,16,33,2422,120,61,87,148,1423,32
0.01,0.01,0.95,5,10,134,0.756,0,0,0.001,10,30,2550,147,69,83,152,1430,32
0.01,0.01,0.95,6,7,93,1,0,0,0.017,15,43,2650,128,63,86,149,1425,32
0.01,0.01,0.95,7,4,53,0.524,1,13,0.01,14,44,2966,53,66,88,154,1431,32
0.01,0.01,0.95,3,0,0,0.685,0,0,0.014,26,65,2983,107,94,63,157,1354,33
0.01,0.01,0.95,4,0,0,0.659,0,0,0.027,40,62,3268,96,88,63,151,1372,33
0.01,0.01,0.95,5,0,0,0.637,0,0,0.014,37,46,3241,102,83,77,160,1375,33
0.01,0.01,0.95,6,0,0,0.896,0,0,0.025,40,62,3469,169,76,70,146,1381,33
0.01,0.01,0.95,7,0,0,0.704,0,0,0.01,44,42,3391,164,78,59,137,1371,33
0.01,0.01,0.95,3,0,0,0.754,0,0,0.006,14,43,2938,146,107,70,177,1423,34
0.01,0.01,0.95,4,0,0,0.44,0,0,0.027,10,53,2785,60,109,76,185,1414,34
0.01,0.01,0.95,5,0,0,0.49,0,0,0.013,29,47,3071,63,105,72,177,1412,34
0.01,0.01,0.95,6,0,0,0.412,0,0,0.028,40,52,2660,179,101,79,180,1423,34
0.01,0.01,0.95,7,0,0,0.796,0,0,0.024,45,64,2976,131,103,84,187,1426,34
0.01,0.01,0.95,3,0,0,0.524,0,0,0.015,16,72,3235,81,102,89,191,1406,35
0.01,0.01,0.95,4,0,0,0.508,0,0,0.021,32,70,4064,106,103,83,186,1418,35
0.01,0.01,0.95,5,0,0,0.883,1,14,0.012,27,64,3876,138,106,84,190,1411,35
0.01,0.01,0.95,6,0,0,0.546,0,0,0.014,32,48,3453,197,108,80,188,1425,35
0.01,0.01,0.95,7,0,0,0.477,0,0,0.011,46,42,3919,119,108,79,187,1417,35
0.01,0.01,0.95,3,0,0,0.763,0,0,0.02,41,65,2948,167,90,80,170,1466,36
0.01,0.01,0.95,4,0,0,0.529,0,0,0.008,53,57,2889,140,84,80,164,1468,36
0.01,0.01,0.95,5,0,0,0.969,0,0,0.017,26,56,3271,106,81,86,167,1456,36
0.01,0.01,0.95,6,0,0,0.495,0,0,0.005,36,61,3507,78,84,90,174,1464,36
0.01,0.01,0.95,7,0,0,0.291,0,0,0.016,44,41,3687,107,81,84,165,1473,36
0.01,0.01,0.95,3,0,0,0.94,0,0,0.009,22,40,3065,138,111,45,156,1472,37
0.01,0.01,0.95,4,0,0,0.5,0,0,0.02,26,76,3221,180,117,43,160,1476,37
0.01,0.01,0.95,5,0,0,0.825,0,0,0.004,18,38,2980,115,117,38,155,1482,37
0.01,0.01,0.95,6,0,0,0.729,0,0,0.004,21,41,2534,106,116,40,156,1478,37
0.01,0.01,0.95,7,0,0,0.408,0,0,0.009,65,28,2670,135,112,41,153,1477,37
0.01,0.01,0.95,3,0,0,0.826,0,0,0.01,30,71,3065,142,40,109,149,1392,38
0.01,0.01,0.95,4,0,0,0.698,0,0,0.02,10,53,3244,107,38,107,145,1401,38
0.01,0.01,0.95,5,0,0,0.479,0,0,0.004,9,42,3055,57,49,74,123,1389,38
0.01,0.01,0.95,6,0,0,0.993,0,0,0.007,10,32,3130,56,60,52,112,1392,38
0.01,0.01,0.95,7,0,0,0.876,0,0,0.003,17,29,3207,84,68,38,106,1390,38
0.01,0.01,0.95,3,0,0,0.828,0,0,0.007,13,35,2154,114,84,62,146,1407,39
0.01,0.01,0.95,4,0,0,0.907,0,0,0.029,30,43,2254,227,90,55,145,1420,39
0.01,0.01,0.95,5,0,0,0.599,0,0,0.009,26,38,2978,411,92,53,145,1420,39
0.01,0.01,0.95,6,0,0,0.771,0,0,0.008,30,39,3578,103,101,40,141,1432,39
0.01,0.01,0.95,7,0,0,0.856,0,0,0.005,43,25,3071,154,103,40,143,1435,39
0.01,0.01,0.95,3,0,0,0.587,0,0,0.021,26,53,3307,120,87,97,184,1387,40
