d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0115,0.95,6,0,0,0.743,0,0,0.023,48,58,3217,193,98,64,162,1398,7
0.01,0.0115,0.95,6,1,14,0.636,0,0,0.008,61,59,3775,226,84,77,161,1390,14
0.01,0.0115,0.95,6,0,0,0.476,0,0,0.003,27,28,3471,119,71,50,121,1413,13
0.01,0.0115,0.95,5,0,0,0.525,2,26,0.01,46,32,2833,178,57,112,169,1400,15
0.01,0.0115,0.95,5,0,0,0.555,4,57,0.005,58,47,3646,141,85,76,161,1449,1
0.01,0.0115,0.95,6,0,0,0.798,0,0,0.033,73,63,3170,229,95,74,169,1362,18
0.01,0.0115,0.95,6,0,0,0.73,3,40,0.006,35,44,3611,275,106,58,164,1476,11
0.01,0.0115,0.95,7,5,66,0.599,0,0,0.008,45,30,4122,314,49,91,140,1445,2
0.01,0.0115,0.95,6,0,0,0.957,0,0,0.01,47,61,3378,297,81,88,169,1440,9
0.01,0.0115,0.95,7,0,0,0.374,3,40,0.014,83,44,2991,178,62,110,172,1392,4
0.01,0.0115,0.95,7,0,0,0.766,0,0,0.013,53,60,3425,276,88,83,171,1371,3
0.01,0.0115,0.95,6,0,0,0.591,0,0,0.008,44,52,3872,158,107,42,149,1482,16
0.01,0.0115,0.95,6,0,0,0.635,0,0,0.024,62,59,3838,272,69,98,167,1464,17
0.01,0.0115,0.95,7,0,0,0.343,0,0,0.013,74,51,4065,246,86,66,152,1446,5
0.01,0.0115,0.95,6,0,0,0.661,0,0,0.005,45,64,3084,223,86,87,173,1414,10
0.01,0.0115,0.95,7,0,0,0.663,0,0,0.014,56,46,3119,240,73,80,153,1440,8
0.01,0.0115,0.95,7,0,0,0.629,0,0,0.008,55,35,3315,193,74,49,123,1435,13
0.01,0.0115,0.95,7,4,54,0.71,1,14,0.02,50,67,3714,163,87,74,161,1389,14
0.01,0.0115,0.95,7,0,0,0.698,0,0,0.015,69,63,3230,189,98,80,178,1393,7
0.01,0.0115,0.95,7,0,0,0.587,0,0,0.007,46,51,3026,246,86,76,162,1381,18
0.01,0.0115,0.95,6,0,0,0.622,4,58,0.015,53,46,4038,145,80,72,152,1466,1
0.01,0.0115,0.95,6,0,0,0.101,0,0,0.01,36,24,2344,78,63,81,144,1406,6
0.01,0.0115,0.95,6,1,13,0.699,2,26,0.029,51,55,3073,232,60,115,175,1389,15
0.01,0.0115,0.95,7,0,0,0.64,4,54,0.019,67,56,3609,222,111,56,167,1482,11
0.01,0.0115,0.95,7,0,0,0.697,0,0,0.009,92,61,3230,248,83,86,169,1442,9
0.01,0.0115,0.95,7,0,0,0.442,0,0,0.014,53,47,3498,156,102,48,150,1482,16
0.01,0.0115,0.95,7,0,0,0.891,0,0,0.026,64,60,3399,381,64,104,168,1466,17
0.01,0.0115,0.95,7,0,0,0.458,0,0,0.012,84,48,3292,200,80,85,165,1418,10
0.01,0.0115,0.95,7,0,0,0.764,3,44,0.007,46,39,3934,184,74,86,160,1460,1
0.01,0.0115,0.95,7,0,0,0.513,0,0,0.016,23,60,3157,52,51,114,165,1381,15
0.01,0.0115,0.95,3,0,0,1,0,0,0.012,5,64,3394,39,84,73,157,1484,19
0.01,0.0115,0.95,7,0,0,0.552,0,0,0.027,56,28,2448,161,67,74,141,1441,6
0.01,0.0115,0.95,3,0,0,0.623,0,0,0.004,71,61,3232,421,121,55,176,1415,20
0.01,0.0115,0.95,3,3,41,0.685,7,95,0.014,73,58,2705,284,70,103,173,1396,21
0.01,0.0115,0.95,4,2,25,0.103,0,0,0.004,15,54,3842,10,76,77,153,1479,19
0.01,0.0115,0.95,3,0,0,0.672,1,14,0.013,63,83,3323,273,121,67,188,1520,22
0.01,0.0115,0.95,3,0,0,0.725,0,0,0.018,44,72,2895,241,87,81,168,1442,24
0.01,0.0115,0.95,3,0,0,0.584,0,0,0.013,16,33,3715,109,61,55,116,1417,23
0.01,0.0115,0.95,4,0,0,0.462,0,0,0.013,71,58,3693,185,128,55,183,1417,20
0.01,0.0115,0.95,4,5,68,0.596,7,95,0.047,68,85,2965,274,78,97,175,1401,21
0.01,0.0115,0.95,3,0,0,0.965,0,0,0.004,32,58,2983,80,82,72,154,1373,27
0.01,0.0115,0.95,3,0,0,0.843,0,0,0.015,28,45,2533,402,64,63,127,1486,25
0.01,0.0115,0.95,5,1,13,0.171,1,13,0.002,30,42,3766,33,79,80,159,1486,19
0.01,0.0115,0.95,3,16,214,0.807,0,0,0.013,53,45,3656,248,57,87,144,1426,28
0.01,0.0115,0.95,3,0,0,0.719,0,0,0.017,68,62,2905,505,103,71,174,1450,26
0.01,0.0115,0.95,4,0,0,0.741,0,0,0.005,62,28,3697,181,121,60,181,1496,22
0.01,0.0115,0.95,3,3,40,0.298,0,0,0.011,78,46,3415,167,102,59,161,1467,29
0.01,0.0115,0.95,4,0,0,0.863,0,0,0.014,24,47,3135,296,91,73,164,1438,24
0.01,0.0115,0.95,5,0,0,0.57,0,0,0.019,82,55,3454,225,133,50,183,1399,20
0.01,0.0115,0.95,5,4,55,0.724,12,164,0.018,58,57,2936,223,85,90,175,1394,21
0.01,0.0115,0.95,4,0,0,0.626,0,0,0.009,33,35,3686,112,72,51,123,1387,23
0.01,0.0115,0.95,3,0,0,0.712,0,0,0.015,63,84,3614,195,120,90,210,1426,30
0.01,0.0115,0.95,3,12,154,0.739,0,0,0.018,35,64,3244,149,86,79,165,1428,32
0.01,0.0115,0.95,6,0,0,0.72,0,0,0.012,26,35,3627,93,82,77,159,1469,19
0.01,0.0115,0.95,4,0,0,0.439,0,0,0.012,17,36,2834,166,87,61,148,1386,27
0.01,0.0115,0.95,3,0,0,0.582,0,0,0.01,63,67,3218,200,100,65,165,1465,31
0.01,0.0115,0.95,4,0,0,0.969,0,0,0.009,6,38,3111,154,75,55,130,1472,25
0.01,0.0115,0.95,4,7,93,0.995,0,0,0.008,31,51,3970,143,66,89,155,1408,28
0.01,0.0115,0.95,3,0,0,0.534,0,0,0.017,87,58,2430,176,61,98,159,1377,33
0.01,0.0115,0.95,5,0,0,0.728,0,0,0.017,82,69,3773,251,118,62,180,1525,22
0.01,0.0115,0.95,4,0,0,0.583,0,0,0.01,53,40,3371,237,115,58,173,1450,26
0.01,0.0115,0.95,5,0,0,0.572,0,0,0.014,30,50,3667,85,87,63,150,1420,24
0.01,0.0115,0.95,6,4,55,0.726,6,82,0.025,65,48,2889,202,85,84,169,1407,21
0.01,0.0115,0.95,6,0,0,0.777,0,0,0.014,39,51,3435,220,132,47,179,1428,20
0.01,0.0115,0.95,4,0,0,0.618,0,0,0.004,85,45,3312,233,101,56,157,1470,29
0.01,0.0115,0.95,5,0,0,0.741,0,0,0.009,21,36,3770,82,71,44,115,1417,23
0.01,0.0115,0.95,7,0,0,0.407,0,0,0.012,30,51,3316,81,77,75,152,1469,19
0.01,0.0115,0.95,4,0,0,0.455,0,0,0.009,97,67,3874,204,111,108,219,1430,30
0.01,0.0115,0.95,3,0,0,0.904,0,0,0.012,49,58,3219,251,70,75,145,1425,35
0.01,0.0115,0.95,4,9,115,0.88,0,0,0.004,32,54,3347,197,98,73,171,1431,32
0.01,0.0115,0.95,5,0,0,0.615,0,0,0.008,65,41,3124,154,82,70,152,1385,27
0.01,0.0115,0.95,5,3,40,0.53,0,0,0.02,19,66,3986,61,62,79,141,1427,28
0.01,0.0115,0.95,5,0,0,1,0,0,0.015,1,45,3522,14,72,45,117,1467,25
0.01,0.0115,0.95,3,0,0,0.36,0,0,0.012,39,62,3018,112,62,113,175,1415,34
0.01,0.0115,0.95,3,0,0,0.674,0,0,0.02,75,69,2895,259,112,64,176,1459,36
0.01,0.0115,0.95,4,0,0,0.801,0,0,0.013,54,61,2880,264,109,54,163,1436,31
0.01,0.0115,0.95,6,0,0,0.642,0,0,0.019,67,69,3554,294,126,62,188,1510,22
0.01,0.0115,0.95,6,0,0,0.675,0,0,0.029,48,62,3644,127,82,76,158,1430,24
0.01,0.0115,0.95,4,0,0,0.436,0,0,0.018,43,51,2837,154,59,100,159,1398,33
0.01,0.0115,0.95,7,1,14,0.879,3,41,0.004,66,48,2839,292,90,79,169,1406,21
0.01,0.0115,0.95,7,0,0,0.652,0,0,0.009,63,57,3936,263,130,49,179,1427,20
0.01,0.0115,0.95,5,0,0,0.778,0,0,0.005,49,49,3446,234,122,54,176,1439,26
0.01,0.0115,0.95,5,0,0,0.391,0,0,0.011,68,57,3372,158,98,60,158,1457,29
0.01,0.0115,0.95,6,0,0,0.429,0,0,0.013,32,40,3401,87,77,46,123,1417,23
0.01,0.0115,0.95,6,5,67,0.529,1,13,0.002,52,40,4199,125,71,76,147,1420,28
0.01,0.0115,0.95,5,0,0,0.587,0,0,0.013,88,59,4241,254,104,104,208,1438,30
0.01,0.0115,0.95,6,0,0,0.73,0,0,0.001,28,18,3296,151,79,73,152,1370,27
0.01,0.0115,0.95,6,0,0,0,0,0,0.008,1,43,4058,2,84,38,122,1459,25
0.01,0.0115,0.95,5,13,165,0.865,0,0,0.01,60,42,3423,294,102,67,169,1426,32
0.01,0.0115,0.95,4,0,0,0.603,0,0,0.016,37,51,3615,242,79,65,144,1418,35
0.01,0.0115,0.95,7,0,0,0.747,0,0,0.009,48,44,3414,197,82,80,162,1426,24
0.01,0.0115,0.95,7,0,0,0.709,0,0,0.021,60,43,3726,256,125,48,173,1522,22
0.01,0.0115,0.95,4,0,0,0.497,0,0,0.018,55,62,3313,205,60,112,172,1399,34
0.01,0.0115,0.95,4,0,0,0.528,0,0,0.006,58,47,3195,380,121,50,171,1459,36
0.01,0.0115,0.95,5,0,0,0.64,0,0,0.003,74,52,3385,210,111,55,166,1466,31
0.01,0.0115,0.95,5,0,0,0.788,0,0,0.011,29,55,2605,142,50,92,142,1374,33
0.01,0.0115,0.95,6,0,0,0.554,0,0,0.017,64,58,3612,249,123,47,170,1445,26
0.01,0.0115,0.95,6,2,26,0.549,0,0,0.012,68,46,3541,180,98,63,161,1474,29
0.01,0.0115,0.95,7,2,27,1,0,0,0.031,16,55,3997,136,71,69,140,1419,28
0.01,0.0115,0.95,7,0,0,0.085,0,0,0.016,25,42,3543,45,76,48,124,1421,23
0.01,0.0115,0.95,7,0,0,0,0,0,0.014,0,40,4001,0,87,40,127,1461,25
0.01,0.0115,0.95,6,0,0,0.379,0,0,0.017,80,79,4400,158,99,105,204,1428,30
0.01,0.0115,0.95,7,0,0,0.622,0,0,0.01,61,31,3195,182,83,67,150,1398,27
0.01,0.0115,0.95,6,13,164,0.612,0,0,0.014,77,41,3815,268,94,68,162,1420,32
0.01,0.0115,0.95,5,0,0,0.86,0,0,0.006,32,51,3784,118,97,62,159,1417,35
0.01,0.0115,0.95,5,0,0,0.603,0,0,0.006,76,32,2914,184,125,44,169,1474,36
0.01,0.0115,0.95,6,0,0,0.715,0,0,0.032,57,68,3335,176,113,47,160,1467,31
0.01,0.0115,0.95,3,0,0,0.877,0,0,0.004,39,44,3438,153,87,76,163,1493,37
0.01,0.0115,0.95,7,1,13,0.353,0,0,0.011,88,60,3856,226,101,69,170,1468,29
0.01,0.0115,0.95,5,0,0,0.681,0,0,0.009,49,33,3172,321,55,109,164,1412,34
0.01,0.0115,0.95,7,0,0,0.708,0,0,0.004,49,50,3500,320,123,51,174,1437,26
0.01,0.0115,0.95,6,0,0,0.31,0,0,0.014,61,36,2663,99,56,100,156,1369,33
0.01,0.0115,0.95,3,0,0,0.615,0,0,0.01,48,48,3580,201,92,56,148,1438,39
0.01,0.0115,0.95,7,0,0,0.232,0,0,0.013,119,37,4276,223,97,108,205,1418,30
0.01,0.0115,0.95,3,0,0,0.763,0,0,0.007,32,27,2500,322,37,60,97,1390,38
0.01,0.0115,0.95,7,10,125,0.727,0,0,0.005,49,31,3788,236,96,71,167,1437,32
0.01,0.0115,0.95,6,0,0,0.534,0,0,0.007,57,60,4044,130,99,61,160,1422,35
0.01,0.0115,0.95,4,0,0,0.83,0,0,0.022,53,65,3459,191,91,69,160,1478,37
0.01,0.0115,0.95,7,0,0,0.584,0,0,0.028,63,72,3146,259,110,53,163,1447,31
0.01,0.0115,0.95,7,0,0,0.735,0,0,0.002,46,34,2548,135,54,95,149,1356,33
0.01,0.0115,0.95,6,0,0,0.574,0,0,0.012,102,32,2626,308,124,51,175,1473,36
0.01,0.0115,0.95,6,0,0,0.681,0,0,0.014,72,42,3450,185,57,112,169,1414,34
0.01,0.0115,0.95,4,0,0,0.663,0,0,0.012,69,34,3353,210,100,49,149,1434,39
0.01,0.0115,0.95,4,0,0,0.907,0,0,0.007,18,28,3005,174,51,47,98,1387,38
0.01,0.0115,0.95,3,0,0,0.782,0,0,0.011,52,72,3441,186,87,124,211,1457,40
0.01,0.0115,0.95,5,0,0,0.681,0,0,0.016,50,56,3293,313,88,73,161,1483,37
0.01,0.0115,0.95,3,0,0,0.692,0,0,0.013,59,43,3289,191,55,96,151,1426,41
0.01,0.0115,0.95,7,0,0,0.483,0,0,0.023,53,69,4143,128,89,72,161,1420,35
0.01,0.0115,0.95,5,0,0,0.61,0,0,0.017,39,39,3231,211,101,42,143,1439,39
0.01,0.0115,0.95,5,0,0,0.654,0,0,0.01,47,41,3010,167,56,42,98,1391,38
0.01,0.0115,0.95,4,0,0,0.402,0,0,0.009,89,69,3545,185,88,125,213,1416,40
0.01,0.0115,0.95,7,0,0,0.805,0,0,0.014,45,55,3043,211,110,52,162,1459,36
0.01,0.0115,0.95,7,0,0,0.7,0,0,0.01,49,46,3543,274,53,115,168,1432,34
0.01,0.0115,0.95,6,0,0,0.484,0,0,0.009,61,23,3442,180,87,72,159,1478,37
0.01,0.0115,0.95,3,0,0,0.631,0,0,0.015,41,65,3830,133,87,83,170,1481,43
0.01,0.0115,0.95,4,0,0,0.649,0,0,0.014,49,47,3504,267,62,89,151,1439,41
0.01,0.0115,0.95,3,0,0,0.96,0,0,0.016,54,64,2814,346,81,78,159,1388,42
0.01,0.0115,0.95,3,14,180,0.567,2,26,0.009,55,37,2912,237,114,43,157,1451,45
0.01,0.0115,0.95,3,0,0,0.877,10,123,0.017,51,81,3104,305,83,101,184,1411,44
0.01,0.0115,0.95,6,0,0,0.671,0,0,0.027,48,44,2902,136,106,41,147,1422,39
0.01,0.0115,0.95,6,0,0,0.958,0,0,0.005,28,25,3158,296,61,31,92,1379,38
0.01,0.0115,0.95,5,0,0,0.437,0,0,0.018,101,55,3813,226,82,122,204,1457,40
0.01,0.0115,0.95,7,0,0,0.701,1,14,0.015,82,49,3337,470,89,75,164,1477,37
0.01,0.0115,0.95,3,0,0,0.358,0,0,0.024,63,75,3262,200,104,76,180,1441,47
0.01,0.0115,0.95,3,0,0,0.65,0,0,0.017,55,84,2898,189,111,83,194,1457,46
0.01,0.0115,0.95,4,0,0,0.932,0,0,0.021,29,72,3956,159,96,72,168,1495,43
0.01,0.0115,0.95,5,0,0,0.76,0,0,0.005,67,48,3417,220,66,86,152,1448,41
0.01,0.0115,0.95,3,0,0,0.61,0,0,0.009,60,62,3607,253,90,71,161,1485,48
0.01,0.0115,0.95,7,0,0,0.871,0,0,0.013,18,44,3448,260,65,28,93,1390,38
0.01,0.0115,0.95,4,0,0,0.84,0,0,0.013,38,45,3010,190,88,73,161,1397,42
0.01,0.0115,0.95,7,0,0,0.635,0,0,0.006,36,32,2899,204,105,37,142,1435,39
0.01,0.0115,0.95,4,14,179,0.494,1,13,0.024,44,48,3165,195,117,32,149,1450,45
0.01,0.0115,0.95,4,0,0,0.58,8,98,0.009,31,46,3536,189,70,92,162,1425,44
0.01,0.0115,0.95,3,0,0,0.985,0,0,0.011,11,51,2845,79,75,89,164,1430,49
0.01,0.0115,0.95,6,0,0,0.459,0,0,0.012,83,57,3874,203,87,130,217,1476,40
0.01,0.0115,0.95,4,0,0,0.636,0,0,0.021,65,67,3431,208,116,78,194,1443,47
0.01,0.0115,0.95,5,0,0,0.808,0,0,0.019,46,54,3898,216,108,60,168,1491,43
0.01,0.0115,0.95,3,9,124,0.456,0,0,0.003,55,67,3429,261,61,89,150,1435,51
0.01,0.0115,0.95,6,0,0,0.321,0,0,0.01,54,68,3414,130,60,92,152,1429,41
0.01,0.0115,0.95,4,0,0,0.738,0,0,0.014,73,60,3182,227,117,78,195,1458,46
0.01,0.0115,0.95,3,0,0,0.772,0,0,0.018,48,43,3580,198,113,53,166,1414,50
0.01,0.0115,0.95,4,0,0,0.909,0,0,0.014,24,62,3630,172,99,59,158,1464,48
0.01,0.0115,0.95,5,0,0,0.893,0,0,0.01,58,25,3109,241,88,69,157,1393,42
0.01,0.0115,0.95,5,9,114,0.833,2,25,0.019,27,58,3299,177,112,35,147,1460,45
0.01,0.0115,0.95,5,0,0,0.985,8,99,0.027,45,74,3694,217,57,107,164,1430,44
0.01,0.0115,0.95,7,1,13,0.654,0,0,0.022,100,47,3696,281,76,129,205,1451,40
0.01,0.0115,0.95,4,0,0,0.758,0,0,0.005,34,36,2898,101,77,87,164,1437,49
0.01,0.0115,0.95,5,0,0,0.464,0,0,0.008,74,53,3486,161,117,66,183,1454,47
0.01,0.0115,0.95,6,0,0,0.905,0,0,0.028,56,61,3693,383,111,62,173,1491,43
0.01,0.0115,0.95,7,0,0,0.377,0,0,0.009,56,43,3550,143,60,87,147,1440,41
0.01,0.0115,0.95,3,0,0,0.67,0,0,0.018,69,79,3087,214,132,62,194,1424,52
0.01,0.0115,0.95,4,16,222,0.453,0,0,0.019,45,43,3847,244,54,87,141,1417,51
0.01,0.0115,0.95,5,0,0,0.604,0,0,0.003,73,31,3482,268,112,70,182,1471,46
0.01,0.0115,0.95,4,0,0,0.754,0,0,0.003,56,35,3902,206,110,52,162,1427,50
0.01,0.0115,0.95,3,0,0,0.477,0,0,0.017,65,62,3795,258,72,85,157,1413,55
0.01,0.0115,0.95,5,0,0,0.84,0,0,0.004,27,48,3728,147,110,49,159,1474,48
0.01,0.0115,0.95,3,0,0,0.885,0,0,0.015,55,57,2784,346,100,57,157,1425,53
0.01,0.0115,0.95,6,0,0,0.598,5,62,0.005,44,53,3859,124,50,102,152,1419,44
0.01,0.0115,0.95,3,0,0,0.605,0,0,0.019,50,61,2970,193,91,100,191,1397,54
0.01,0.0115,0.95,6,7,88,0.451,1,13,0.032,47,70,3254,96,120,47,167,1448,45
0.01,0.0115,0.95,6,0,0,0.675,0,0,0.012,43,55,2957,368,96,59,155,1389,42
0.01,0.0115,0.95,5,0,0,0.792,0,0,0.02,57,29,2753,349,83,77,160,1424,49
0.01,0.0115,0.95,6,0,0,0.774,0,0,0.015,68,42,3484,234,98,68,166,1454,47
0.01,0.0115,0.95,7,0,0,0.777,0,0,0.008,31,47,4169,259,107,57,164,1483,43
0.01,0.0115,0.95,3,0,0,0.604,0,0,0.014,71,78,4018,189,116,82,198,1459,56
0.01,0.0115,0.95,5,11,152,0.486,0,0,0.011,32,42,3886,113,50,95,145,1416,51
0.01,0.0115,0.95,3,0,0,0.822,0,0,0.011,47,80,3491,242,75,91,166,1495,57
0.01,0.0115,0.95,4,0,0,0.38,0,0,0.022,67,75,3211,272,135,57,192,1430,52
0.01,0.0115,0.95,4,0,0,0.502,0,0,0.002,65,25,4039,166,61,89,150,1403,55
0.01,0.0115,0.95,6,0,0,0.664,0,0,0.012,51,58,3759,185,104,68,172,1461,46
0.01,0.0115,0.95,5,0,0,0.538,0,0,0.01,63,56,3970,193,118,51,169,1428,50
0.01,0.0115,0.95,6,0,0,0.607,0,0,0.01,62,51,3986,168,115,47,162,1465,48
0.01,0.0115,0.95,7,0,0,0.915,1,12,0.006,29,28,3764,169,43,89,132,1419,44
0.01,0.0115,0.95,7,11,138,0.654,2,25,0.003,61,46,3094,198,109,58,167,1451,45
0.01,0.0115,0.95,7,0,0,0.707,0,0,0.005,47,27,3288,199,97,60,157,1374,42
0.01,0.0115,0.95,4,0,0,0.632,0,0,0.013,48,55,2481,290,107,51,158,1436,53
0.01,0.0115,0.95,4,0,0,0.622,0,0,0.014,58,72,2856,224,93,101,194,1399,54
0.01,0.0115,0.95,7,0,0,0.715,0,0,0.015,48,51,3304,147,97,71,168,1460,47
0.01,0.0115,0.95,4,0,0,0.634,0,0,0.024,47,85,4238,218,112,76,188,1449,56
0.01,0.0115,0.95,4,0,0,0.831,0,0,0.012,65,48,3453,253,75,82,157,1498,57
0.01,0.0115,0.95,6,0,0,0.733,0,0,0.008,52,34,2639,331,84,75,159,1440,49
0.01,0.0115,0.95,6,14,193,0.795,0,0,0.008,33,39,3825,151,49,97,146,1401,51
0.01,0.0115,0.95,5,0,0,0.507,0,0,0.006,73,44,3685,144,51,92,143,1412,55
0.01,0.0115,0.95,5,0,0,0.808,0,0,0.012,78,41,3409,284,132,58,190,1434,52
0.01,0.0115,0.95,7,0,0,0.706,0,0,0.014,66,45,3381,337,102,68,170,1448,46
0.01,0.0115,0.95,6,0,0,0.354,0,0,0.01,82,46,3868,234,115,55,170,1424,50
0.01,0.0115,0.95,3,0,0,0.763,0,0,0.019,79,85,2752,338,116,81,197,1477,58
0.01,0.0115,0.95,7,0,0,0.645,0,0,0.01,88,37,4108,259,115,46,161,1473,48
