d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.0085,0.95,6,4,54,0.692,9,122,0.011,66,49,3553,234,84,90,174,1401,21
0.01,0.0085,0.95,4,0,0,0.726,0,0,0.021,39,59,3005,208,60,114,174,1448,5
0.01,0.0085,0.95,7,10,133,0.802,0,0,0.019,51,64,3353,137,77,79,156,1418,28
0.01,0.0085,0.95,4,0,0,0.504,0,0,0.003,43,48,3332,144,94,60,154,1455,26
0.01,0.0085,0.95,6,0,0,0.428,5,71,0.021,50,45,2676,170,64,98,162,1424,4
0.01,0.0085,0.95,6,0,0,0.63,2,26,0.007,48,26,3082,204,60,86,146,1423,6
0.01,0.0085,0.95,4,1,13,0.697,0,0,0.006,45,36,2816,183,96,73,169,1481,19
0.01,0.0085,0.95,4,0,0,0.545,0,0,0.007,50,35,3352,93,53,106,159,1435,2
0.01,0.0085,0.95,4,1,14,0.719,0,0,0.014,77,50,2240,245,93,69,162,1410,20
0.01,0.0085,0.95,4,0,0,0.731,0,0,0.001,68,34,2436,277,69,88,157,1435,9
0.01,0.0085,0.95,4,0,0,0.672,0,0,0.037,79,61,1575,266,83,103,186,1405,3
0.01,0.0085,0.95,4,0,0,0.561,0,0,0.015,60,48,3085,242,92,71,163,1453,25
0.01,0.0085,0.95,6,0,0,0.469,0,0,0.014,83,80,3143,230,82,106,188,1415,10
0.01,0.0085,0.95,6,0,0,0.762,0,0,0.051,79,94,3236,266,63,104,167,1462,17
0.01,0.0085,0.95,7,1,13,0.85,0,0,0.022,49,45,3024,152,67,53,120,1377,14
0.01,0.0085,0.95,6,0,0,0.893,0,0,0.025,66,54,2483,203,84,75,159,1379,27
0.01,0.0085,0.95,4,0,0,0.903,10,132,0.017,34,37,2430,181,77,74,151,1481,1
0.01,0.0085,0.95,6,0,0,0.538,0,0,0.012,58,42,2898,212,89,69,158,1431,24
0.01,0.0085,0.95,5,0,0,0.71,0,0,0.014,44,38,2453,180,110,50,160,1389,18
0.01,0.0085,0.95,5,1,13,0.628,0,0,0.023,53,44,2075,295,122,55,177,1403,15
0.01,0.0085,0.95,7,4,54,0.539,6,80,0.014,54,66,3293,238,87,88,175,1407,21
