d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.808,6,77,0.007,17,19,2730,124,38,47,85,1461,1
0.01,0.01,0.95,4,0,0,0.892,2,26,0.001,22,22,2990,120,37,52,89,1446,1
0.01,0.01,0.95,5,0,0,0.416,1,13,0.003,14,18,3106,50,34,50,84,1453,1
0.01,0.01,0.95,6,0,0,0.99,2,26,0.003,8,9,3009,74,36,53,89,1453,1
0.01,0.01,0.95,7,0,0,1,0,0,0.012,13,23,3186,75,37,48,85,1452,1
0.01,0.01,0.95,3,0,0,0.901,0,0,0.007,7,21,2599,99,68,19,87,1454,2
0.01,0.01,0.95,4,0,0,0.587,0,0,0.009,10,25,2626,46,71,15,86,1434,2
0.01,0.01,0.95,5,0,0,0.992,0,0,0.003,10,24,2635,42,75,14,89,1431,2
0.01,0.01,0.95,6,0,0,0.639,0,0,0,12,17,3090,23,73,19,92,1438,2
0.01,0.01,0.95,7,0,0,1,0,0,0.002,3,12,3181,43,71,21,92,1443,2
0.01,0.01,0.95,3,0,0,0.597,0,0,0.002,14,26,2697,70,41,61,102,1416,3
0.01,0.01,0.95,4,0,0,0.77,2,25,0.01,17,29,2517,73,44,56,100,1413,3
0.01,0.01,0.95,5,0,0,0.821,0,0,0.004,19,19,2219,67,35,56,91,1416,3
0.01,0.01,0.95,6,0,0,1,0,0,0.013,10,26,1993,273,45,54,99,1412,3
0.01,0.01,0.95,7,0,0,0.657,0,0,0.001,15,20,1928,309,40,56,96,1410,3
0.01,0.01,0.95,3,0,0,0.544,10,130,0,2,13,3010,11,48,34,82,1407,4
0.01,0.01,0.95,4,0,0,1,6,76,0.001,0,18,3492,4,49,32,81,1404,4
