d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,1,14,0.634,8,111,0.007,24,56,2884,209,73,94,167,1450,1
0.01,0.01,0.95,4,0,0,0.459,5,70,0.005,51,37,2984,203,70,98,168,1460,1
0.01,0.01,0.95,5,0,0,0.471,4,56,0.009,77,32,2508,308,66,94,160,1445,1
0.01,0.01,0.95,6,0,0,0.54,9,128,0.016,40,56,2221,214,67,101,168,1444,1
0.01,0.01,0.95,7,0,0,0.95,6,86,0.007,34,47,2631,126,67,97,164,1441,1
0.01,0.01,0.95,3,0,0,0.994,0,0,0.005,24,37,2808,182,102,60,162,1431,2
0.01,0.01,0.95,4,0,0,0.977,0,0,0.013,6,25,3493,85,97,56,153,1459,2
0.01,0.01,0.95,5,1,14,0.719,0,0,0.011,17,61,3762,51,104,57,161,1465,2
0.01,0.01,0.95,6,0,0,0.643,0,0,0.01,26,24,3606,110,97,59,156,1468,2
0.01,0.01,0.95,7,0,0,0.294,0,0,0.013,27,43,3284,122,103,55,158,1435,2
0.01,0.01,0.95,3,0,0,0.811,0,0,0.026,35,68,2228,160,91,104,195,1372,3
0.01,0.01,0.95,4,0,0,0.677,0,0,0.026,41,42,2570,172,84,103,187,1388,3
0.01,0.01,0.95,5,0,0,0.437,2,25,0.009,71,32,3303,195,80,107,187,1400,3
0.01,0.01,0.95,6,0,0,0.554,0,0,0.012,59,59,2920,297,75,112,187,1392,3
0.01,0.01,0.95,7,0,0,0.462,0,0,0.007,83,21,3185,240,72,113,185,1383,3
0.01,0.01,0.95,3,0,0,0.887,16,203,0.006,38,45,2975,256,86,75,161,1427,4
0.01,0.01,0.95,4,1,13,0.569,3,38,0.022,27,59,2850,153,86,73,159,1417,4
0.01,0.01,0.95,5,0,0,0.791,3,39,0.016,40,47,2988,154,85,68,153,1412,4
0.01,0.01,0.95,6,0,0,0.555,8,103,0.019,19,49,3082,81,91,62,153,1423,4
0.01,0.01,0.95,7,0,0,0.594,3,39,0.006,24,25,3131,66,93,62,155,1415,4
0.01,0.01,0.95,3,0,0,0.786,0,0,0.015,43,49,2318,184,100,95,195,1428,5
0.01,0.01,0.95,4,0,0,0.63,0,0,0.02,50,62,2539,227,111,86,197,1436,5
0.01,0.01,0.95,5,0,0,0.915,0,0,0.007,34,42,2679,222,103,90,193,1457,5
0.01,0.01,0.95,6,0,0,0.817,0,0,0.012,27,37,2852,362,107,83,190,1441,5
0.01,0.01,0.95,7,0,0,0.694,0,0,0.02,22,55,3060,98,117,77,194,1445,5
0.01,0.01,0.95,3,1,13,0.479,0,0,0.004,37,27,3025,119,73,98,171,1438,6
0.01,0.01,0.95,4,0,0,0.946,2,26,0.018,22,33,2815,252,68,101,169,1428,6
0.01,0.01,0.95,5,0,0,0.583,2,27,0.006,30,29,3262,160,63,95,158,1416,6
0.01,0.01,0.95,6,0,0,0.936,4,53,0.006,19,35,3564,187,60,92,152,1431,6
0.01,0.01,0.95,7,0,0,0.984,1,13,0,20,26,3559,120,57,94,151,1435,6
0.01,0.01,0.95,3,0,0,0.798,0,0,0.009,67,68,3034,270,95,99,194,1413,7
0.01,0.01,0.95,4,0,0,0.821,0,0,0.012,54,40,3393,306,71,91,162,1423,7
0.01,0.01,0.95,5,0,0,0.468,0,0,0.034,27,58,3527,251,66,87,153,1418,7
0.01,0.01,0.95,6,0,0,0.648,0,0,0.015,70,41,3277,203,71,88,159,1412,7
0.01,0.01,0.95,7,0,0,0.344,0,0,0.021,48,56,3404,202,72,81,153,1412,7
0.01,0.01,0.95,3,0,0,0.931,0,0,0.007,28,37,2866,221,82,88,170,1428,8
0.01,0.01,0.95,4,0,0,0.884,0,0,0.009,32,42,3363,271,78,83,161,1419,8
0.01,0.01,0.95,5,0,0,0.508,0,0,0.005,70,35,3813,290,91,76,167,1420,8
0.01,0.01,0.95,6,0,0,0.622,0,0,0.02,53,49,3724,187,85,80,165,1419,8
0.01,0.01,0.95,7,0,0,0.671,0,0,0.01,30,46,3596,154,80,78,158,1420,8
0.01,0.01,0.95,3,0,0,0.82,0,0,0.023,47,49,3120,228,73,93,166,1440,9
0.01,0.01,0.95,4,0,0,0.553,0,0,0.012,45,49,3883,165,72,92,164,1460,9
0.01,0.01,0.95,5,0,0,0.804,0,0,0.004,61,22,3908,217,72,80,152,1438,9
0.01,0.01,0.95,6,0,0,0.538,0,0,0.013,47,53,3824,159,84,76,160,1453,9
0.01,0.01,0.95,7,0,0,0.755,0,0,0.009,48,45,4147,317,86,67,153,1445,9
0.01,0.01,0.95,3,0,0,0.673,0,0,0.013,20,54,3210,117,76,87,163,1417,10
0.01,0.01,0.95,4,0,0,0.686,0,0,0.015,49,32,3099,123,75,87,162,1419,10
0.01,0.01,0.95,5,0,0,0.696,0,0,0.007,31,41,2443,201,75,80,155,1416,10
0.01,0.01,0.95,6,0,0,0.7,0,0,0.027,30,69,2511,196,78,84,162,1413,10
0.01,0.01,0.95,7,0,0,0.685,0,0,0.005,12,39,3111,167,71,84,155,1409,10
0.01,0.01,0.95,3,0,0,0.662,0,0,0.007,21,50,3312,204,96,80,176,1467,11
0.01,0.01,0.95,4,0,0,0.71,0,0,0.008,17,38,3823,122,100,73,173,1498,11
0.01,0.01,0.95,5,0,0,0.823,0,0,0.026,21,62,3452,104,101,69,170,1481,11
0.01,0.01,0.95,6,0,0,0.676,1,13,0.015,32,58,3564,257,97,65,162,1483,11
0.01,0.01,0.95,7,0,0,0.622,0,0,0.013,34,38,3746,271,92,71,163,1488,11
0.01,0.01,0.95,3,0,0,0.856,0,0,0.019,25,65,3338,179,106,77,183,1455,12
0.01,0.01,0.95,4,0,0,0.618,0,0,0.017,23,55,3819,154,113,65,178,1458,12
0.01,0.01,0.95,5,0,0,0.894,0,0,0.004,13,31,4061,95,116,61,177,1462,12
0.01,0.01,0.95,6,0,0,0.805,0,0,0.016,27,43,4217,80,119,63,182,1462,12
0.01,0.01,0.95,7,0,0,0.659,0,0,0.034,20,76,4111,73,120,51,171,1452,12
0.01,0.01,0.95,3,0,0,0.591,0,0,0.014,33,47,2847,188,92,76,168,1409,13
0.01,0.01,0.95,4,0,0,0.839,0,0,0.014,33,41,3114,217,85,78,163,1409,13
0.01,0.01,0.95,5,0,0,0.819,0,0,0.008,35,44,3364,147,85,75,160,1418,13
0.01,0.01,0.95,6,0,0,0.795,0,0,0.01,10,44,3237,60,82,77,159,1429,13
0.01,0.01,0.95,7,0,0,0.564,0,0,0.005,28,17,3228,73,82,72,154,1453,13
0.01,0.01,0.95,3,1,13,0.957,0,0,0.022,18,46,2532,128,97,69,166,1380,14
