d-d-t,r-r-t,decay-factor,Year,HumanAnnualDLCases,HumanAnnualDogSerovarInc/10K,prop-rc-dscases,HumanAnnualRLCases,HumanAnnualRodentSerovarInc/10K,prop-dc-rscases,DogAnnualDLCases,DogAnnualRLCases,RodentAnnualRLCases,RodentAnnualDLCases,averageannODN,averageannSDN,averageDN,averageannRN,iteration
0.01,0.01,0.95,3,0,0,0.928,3,40,0.024,70,69,1494,206,78,93,171,1064,1
0.01,0.01,0.95,4,0,0,0.818,7,93,0.011,21,22,1541,80,91,74,165,1085,1
0.01,0.01,0.95,5,0,0,0.529,7,93,0.017,83,36,1402,117,95,66,161,1062,1
0.01,0.01,0.95,6,0,0,0.408,7,93,0.017,78,35,1428,217,99,59,158,1071,1
0.01,0.01,0.95,7,2,27,0.472,6,80,0.026,57,48,1916,170,103,68,171,1046,1
0.01,0.01,0.95,3,0,0,0.46,0,0,0.111,39,70,618,77,77,77,154,1056,2
0.01,0.01,0.95,4,0,0,0.265,0,0,0.086,52,38,1058,98,55,94,149,1056,2
0.01,0.01,0.95,5,6,78,0.481,0,0,0.071,59,30,1085,107,42,108,150,1043,2
0.01,0.01,0.95,6,0,0,0.539,0,0,0.032,84,26,721,172,30,124,154,1049,2
0.01,0.01,0.95,7,3,39,0.48,0,0,0.063,71,45,713,227,25,128,153,1046,2
0.01,0.01,0.95,3,0,0,0.585,0,0,0.057,73,61,1108,192,101,97,198,1035,3
0.01,0.01,0.95,4,0,0,0.488,1,13,0.01,72,44,1425,242,98,85,183,1043,3
0.01,0.01,0.95,5,0,0,0.697,0,0,0.013,73,41,1633,277,102,86,188,1034,3
0.01,0.01,0.95,6,0,0,0.735,0,0,0.023,80,42,1806,277,96,85,181,1031,3
0.01,0.01,0.95,7,0,0,0.654,0,0,0.028,77,36,1921,321,90,86,176,1047,3
0.01,0.01,0.95,3,0,0,0.423,7,85,0.059,84,76,1302,134,79,113,192,1023,4
0.01,0.01,0.95,4,0,0,0.828,6,72,0.014,41,41,1339,200,76,103,179,1033,4
0.01,0.01,0.95,5,0,0,0.326,10,120,0.015,70,61,1202,321,66,100,166,1013,4
0.01,0.01,0.95,6,0,0,0.627,7,84,0.046,76,34,975,251,60,96,156,1015,4
0.01,0.01,0.95,7,0,0,0.865,0,0,0.051,44,54,883,326,61,95,156,1046,4
0.01,0.01,0.95,3,0,0,0.708,0,0,0.036,40,67,1372,215,97,90,187,1074,5
0.01,0.01,0.95,4,0,0,0.59,0,0,0.021,44,76,1635,114,105,79,184,1077,5
0.01,0.01,0.95,5,0,0,0.599,0,0,0.029,48,61,1740,192,98,83,181,1074,5
0.01,0.01,0.95,6,0,0,0.491,0,0,0.016,49,35,1665,150,93,83,176,1075,5
0.01,0.01,0.95,7,0,0,0.221,0,0,0.014,83,36,2197,171,95,85,180,1093,5
0.01,0.01,0.95,3,0,0,0.767,0,0,0.028,15,54,1122,54,108,65,173,1064,6
0.01,0.01,0.95,4,0,0,0.821,0,0,0.035,35,37,989,114,107,66,173,1049,6
0.01,0.01,0.95,5,0,0,0.638,1,13,0.013,40,22,1322,183,102,70,172,1049,6
0.01,0.01,0.95,6,0,0,0.48,0,0,0.031,29,34,1622,47,96,76,172,1055,6
0.01,0.01,0.95,7,0,0,1,1,13,0.036,13,42,1544,38,95,66,161,1051,6
0.01,0.01,0.95,3,0,0,0.569,0,0,0.032,77,74,1694,231,92,115,207,1035,7
0.01,0.01,0.95,4,0,0,0.62,0,0,0.014,95,51,1421,242,87,104,191,1038,7
0.01,0.01,0.95,5,0,0,0.755,0,0,0.022,64,35,1710,252,89,103,192,1038,7
0.01,0.01,0.95,6,0,0,0.525,0,0,0.016,59,60,1954,159,92,98,190,1037,7
0.01,0.01,0.95,7,0,0,0.826,0,0,0.013,53,46,1779,317,101,98,199,1030,7
0.01,0.01,0.95,3,0,0,0.488,0,0,0.041,14,69,1496,78,104,63,167,1059,8
0.01,0.01,0.95,4,0,0,0.58,0,0,0.074,8,55,1161,19,108,58,166,1072,8
0.01,0.01,0.95,5,0,0,0.678,0,0,0.042,13,35,1076,44,105,49,154,1062,8
0.01,0.01,0.95,6,0,0,0.707,0,0,0.012,42,36,954,108,108,56,164,1064,8
0.01,0.01,0.95,7,0,0,0.661,0,0,0.055,49,36,815,159,105,52,157,1066,8
0.01,0.01,0.95,3,0,0,0.763,0,0,0.028,59,57,987,298,156,49,205,1064,9
0.01,0.01,0.95,4,0,0,0.443,0,0,0.02,75,41,1284,209,160,45,205,1067,9
